City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vanavara,60.34,102.2797,-28.25,82,61,1.7,RU,1611644441
La Ronge,55.1001,-105.2842,-32.8,61,0,0.29,CA,1611644452
Iralaya,15.0,-83.2333,77.81,86,21,13.22,HN,1611644463
Whitehorse,60.7161,-135.0538,10.4,85,90,8.05,CA,1611644474
Upernavik,72.7868,-56.1549,4.57,84,0,5.82,GL,1611644485
Río Gallegos,-51.6226,-69.2181,41.0,60,0,23.02,AR,1611644309
Piaçabuçu,-10.4056,-36.4344,76.19,84,100,8.72,BR,1611644424
Maralal,1.0968,36.698,67.42,45,3,11.01,KE,1611644519
Puerto Rico,-26.796,-55.024,69.66,97,100,4.12,AR,1611644476
Unirea,44.15,23.1833,34.0,96,100,1.01,RO,1611644541
Anadyr,64.75,177.4833,-2.0,78,90,11.18,RU,1611644553
Christchurch,-43.5333,172.6333,91.4,21,74,17.27,NZ,1611644479
Ekhabi,53.5102,142.9671,-19.55,86,0,2.39,RU,1611644576
Marawi,7.9986,124.2928,82.0,81,90,5.99,PH,1611644587
Uruçuí,-7.2294,-44.5561,74.14,82,16,2.35,BR,1611644598
Jesup,31.6074,-81.8854,64.4,88,1,6.51,US,1611644609
Acapulco de Juárez,16.8634,-99.8901,74.34,84,0,3.74,MX,1611644620
Coari,-4.085,-63.1414,72.7,96,30,1.5,BR,1611644631
Perivoli,39.4206,20.0147,54.0,94,75,14.97,GR,1611644642
Sidi Ali,36.0998,0.4206,55.24,99,42,12.24,DZ,1611644653
Cap Malheureux,-19.9842,57.6142,82.99,71,22,4.0,MU,1611644664
Luena,-11.7833,19.9167,66.2,94,0,8.05,AO,1611644627
Kamenka,51.3223,42.7678,34.0,92,100,18.52,RU,1611644687
Pāveh,35.0434,46.3565,26.6,80,0,2.1,IR,1611644698
Moussoro,13.6408,16.4901,71.19,18,100,15.01,TD,1611644590
Khanpur,28.6453,70.6567,73.18,17,0,6.8,PK,1611644475
Henties Bay,-22.116,14.2845,65.82,85,98,2.24,NA,1611644732
Rio Grande,-32.035,-52.0986,73.99,95,0,7.18,BR,1611644746
Kenora,49.8167,-94.4337,-9.0,77,90,4.61,CA,1611644736
Port-Cartier,50.0334,-66.8654,32.0,64,100,6.91,CA,1611644769
Sayyan,15.1718,44.3244,63.28,21,80,3.22,YE,1611644780
Beatrice,40.2681,-96.747,21.2,86,90,17.27,US,1611644649
Hamilton,39.1834,-84.5333,35.6,93,90,4.61,US,1611644802
San Policarpo,12.1791,125.5072,81.19,73,100,10.67,PH,1611644814
Wajir,1.7471,40.0573,78.8,69,40,6.91,KE,1611644826
Elliot,-31.3333,27.85,75.69,52,93,6.71,ZA,1611644837
Kenai,60.5544,-151.2583,17.01,85,1,4.76,US,1611644848
Lakes Entrance,-37.8811,147.981,64.99,87,91,7.72,AU,1611644859
Koumac,-20.5667,164.2833,81.95,70,100,7.14,NC,1611644870
Port Keats,-14.25,129.55,79.88,86,100,9.19,AU,1611644881
College,64.8569,-147.8028,-8.0,70,1,1.66,US,1611644755
Sabang,5.8933,95.3214,81.68,78,63,15.7,ID,1611644668
Tautira,-17.7333,-149.15,82.0,61,40,5.75,PF,1611644915
Taoudenni,22.6783,-3.9836,63.82,25,0,7.63,ML,1611644871
Bathsheba,13.2167,-59.5167,77.0,73,20,16.11,BB,1611644937
Uglovoye,44.8215,33.6045,51.01,39,100,10.0,UA,1611644948
Nang Rong,14.6377,102.7914,93.2,59,1,10.36,TH,1611644959
Karpogory,64.0019,44.4451,33.28,96,100,3.87,RU,1611644971
Sinnamary,5.3833,-52.95,76.46,84,7,13.33,GF,1611644982
Pierre,44.3683,-100.351,14.0,79,90,5.75,US,1611644911
Armidale,-30.5167,151.65,79.65,43,6,8.03,AU,1611645005
Rexburg,43.826,-111.7897,1.4,85,1,4.61,US,1611644875
Lillesand,58.2488,8.3778,23.0,86,0,4.61,NO,1611645027
Mount Isa,-20.7333,139.5,96.8,32,40,4.61,AU,1611645038
Ust-Maya,60.4167,134.5333,-47.63,75,50,2.35,RU,1611645049
Bani Walid,31.7566,13.9942,59.02,46,93,16.26,LY,1611645062
Oranjemund,-28.55,16.4333,65.44,80,65,12.57,NA,1611645074
Blackwater,-23.5833,148.8833,92.26,32,63,8.14,AU,1611645085
Manaquiri,-3.3167,-60.35,75.2,94,75,1.14,BR,1611645096
Katobu,-4.9408,122.5276,83.64,73,100,7.9,ID,1611644837
Codrington,-38.2667,141.9667,60.28,70,94,17.9,AU,1611645119
Agadez,19.75,10.25,55.94,30,0,8.08,NE,1611645131
San Carlos,9.6612,-68.5827,71.53,78,100,3.18,VE,1611645143
Tuensang,26.2833,94.8333,70.03,34,6,3.18,IN,1611644859
Aquiraz,-3.9014,-38.3911,78.8,83,75,8.05,BR,1611645166
Buala,-8.145,159.5921,84.25,70,100,8.57,SB,1611645177
Dnestrovsc,46.6222,29.9133,35.6,93,75,2.06,MD,1611645188
Albion,42.2431,-84.753,30.2,80,90,9.22,US,1611645199
Gouré,13.9835,10.2704,71.01,11,62,11.99,NE,1611645210
Springboro,39.5523,-84.2333,34.0,93,90,10.36,US,1611645222
Mpika,-11.8343,31.4529,62.17,94,99,2.55,ZM,1611645233
Snåase,64.2457,12.3778,23.0,80,40,17.27,NO,1611645244
Sibolga,1.7427,98.7792,84.11,71,100,5.48,ID,1611645255
Vardø,70.3705,31.1107,28.4,86,75,27.63,NO,1611645266
Derzhavīnsk,51.1,66.3167,22.26,98,83,10.56,KZ,1611645277
Sioux Lookout,50.1001,-91.917,-18.4,83,75,4.61,CA,1611645288
Taveta,-3.3963,37.6736,77.54,62,46,5.64,KE,1611645299
Gumdag,39.2061,54.5906,38.84,72,0,23.53,TM,1611645311
Stow,41.1595,-81.4404,33.01,80,90,9.22,US,1611645322
Kapuskasing,49.4169,-82.4331,1.4,85,94,3.44,CA,1611645333
Krasnobrodskiy,54.1581,86.4486,-12.78,89,96,1.95,RU,1611645344
Hobyo,5.3505,48.5268,80.24,60,100,20.07,SO,1611645355
Tessalit,20.1986,1.0114,60.03,24,81,8.01,ML,1611645366
Neiafu,-18.65,-173.9833,75.2,94,90,9.22,TO,1611645377
Harbour Breton,47.4833,-55.7983,29.79,95,100,7.58,CA,1611645389
Tegul'det,57.3064,88.1667,-26.81,80,92,2.35,RU,1611645400
Pedersore,63.65,22.6833,28.99,93,90,5.75,FI,1611645411
Vila Franca do Campo,37.7167,-25.4333,62.6,88,75,12.66,PT,1611645422
Katherine,-14.4667,132.2667,86.0,70,100,10.36,AU,1611645433
Ust'-Charyshskaya Pristan',52.3934,83.6635,4.59,93,98,1.95,RU,1611645444
Tortolì,39.9256,9.6572,46.4,49,20,18.41,IT,1611645455
Feicheng,35.2606,117.9675,55.0,61,100,1.01,CN,1611645466
Rio das Ostras,-22.5269,-41.945,75.2,88,0,8.05,BR,1611645480
Ucluelet,48.9329,-125.5528,37.0,90,29,7.52,CA,1611645491
Rusape,-18.5278,32.1284,63.1,84,100,5.28,ZW,1611645502
Filingué,14.3521,3.3168,63.03,22,46,9.66,NE,1611645513
Flin Flon,54.7682,-101.865,-24.0,86,0,4.27,CA,1611645310
Vestmanna,62.1564,-7.1664,30.2,74,66,11.5,FO,1611645535
Luwuk,-0.9516,122.7875,88.0,54,100,4.09,ID,1611645546
Pitimbu,-7.4706,-34.8086,75.2,100,75,4.61,BR,1611645558
Ware,51.8126,-0.0283,30.0,100,100,3.44,GB,1611645569
Santa Rosa,14.3122,121.1114,87.01,66,40,2.3,PH,1611645497
Vostochnyy,55.8167,37.8667,34.0,93,90,13.42,RU,1611645591
Saltpond,5.2091,-1.0606,76.32,82,83,4.54,GH,1611645603
Wanaka,-44.7,169.15,68.2,59,100,10.51,NZ,1611645614
Blythe,33.6103,-114.5964,43.0,75,90,12.66,US,1611645626
Puerto Escondido,15.85,-97.0667,77.29,61,0,4.05,MX,1611645638
Manavālakurichi,8.1333,77.3,87.8,51,20,3.44,IN,1611645649
Bobo-Dioulasso,11.1771,-4.2979,63.36,26,90,4.99,BF,1611645661
Nampa,43.5407,-116.5635,27.0,100,100,1.45,US,1611645672
Fuengirola,36.54,-4.6247,61.0,82,20,9.22,ES,1611645683
Vao,-22.6667,167.4833,76.78,78,100,23.8,NC,1611645694
Uch,45.3192,-0.9345,32.0,86,0,5.75,FR,1611645706
Ojuelos de Jalisco,21.8667,-101.5833,52.74,43,60,7.96,MX,1611645718
Divnogorsk,55.9594,92.3619,-22.0,69,20,2.24,RU,1611645730
Tigre,-34.426,-58.5796,80.01,61,0,2.3,AR,1611645741
Vostok,46.4856,135.8833,21.88,98,100,4.25,RU,1611645752
Qaryat Sulūq,31.6682,20.2521,56.55,66,100,11.14,LY,1611645495
Miandrivazo,-19.5167,45.4667,77.32,78,100,2.08,MG,1611645774
Novikovo,51.1537,37.8879,36.05,93,100,19.89,RU,1611645787
Mungaoli,24.4167,78.1,70.81,27,0,6.89,IN,1611645798
Road Town,18.4167,-64.6167,75.99,84,0,13.0,VG,1611645754
Payo,-3.7508,103.6372,87.67,56,92,4.61,ID,1611645820
Longkou,37.6508,120.3286,36.46,80,0,8.84,CN,1611645831
Sendafa,9.15,39.0333,62.49,34,0,7.07,ET,1611645842
Chemal,51.4111,86.005,14.4,86,100,0.43,RU,1611645854
Baharly,38.4362,57.4316,42.98,57,0,11.16,TM,1611645865
Ternate,0.8,127.4,81.01,78,100,11.34,ID,1611645876
Talara,-4.5772,-81.2719,73.67,80,87,11.05,PE,1611645887
Lohja,60.2486,24.0653,33.01,99,100,4.0,FI,1611645898
Greece,43.2098,-77.6931,28.99,68,90,5.75,US,1611645909
Bol,13.4586,14.7147,71.83,31,59,18.84,TD,1611645920
Baykit,61.67,96.37,-31.49,77,50,0.85,RU,1611645932
Charyshskoye,51.3978,83.5598,12.11,88,100,5.08,RU,1611645943
Tuatapere,-46.1333,167.6833,75.99,39,100,15.99,NZ,1611645954
Zaragoza,41.6561,-0.8773,43.0,87,0,8.05,ES,1611645760
Shima,24.4478,117.8111,71.6,56,0,8.95,CN,1611645976
Nsanje,-16.92,35.262,84.81,72,95,1.05,MW,1611645987
Omboué,-1.5746,9.2618,79.65,84,70,3.22,GA,1611645998
Nanning,22.8167,108.3167,64.4,63,75,4.47,CN,1611646009
Acaraú,-2.8856,-40.12,78.19,86,100,11.07,BR,1611646021
Tadine,-21.55,167.8833,76.82,82,100,18.95,NC,1611646032
Jinchang,38.4953,102.1739,31.6,71,0,5.3,CN,1611646043
La Unión,-5.4,-80.75,77.32,61,73,9.35,PE,1611646054
Pacifica,37.6138,-122.4869,46.99,66,20,14.97,US,1611646065
San Juan,-31.5375,-68.5364,82.51,32,94,6.02,AR,1611645813
Sørland,67.667,12.6934,35.6,87,75,20.71,NO,1611646087
Tanout,14.9709,8.8879,60.44,25,62,13.42,NE,1611646098
Suntar,62.1444,117.6319,-39.6,80,54,3.53,RU,1611646109
Ribeira Grande,38.5167,-28.7,64.4,88,40,17.27,PT,1611646121
Santa Catarina de Tepehuanes,25.35,-105.7333,39.47,71,44,5.08,MX,1611646132
Warrington,53.3925,-2.5802,35.6,87,90,6.91,GB,1611646143
Pokhara,28.2333,83.9833,69.4,30,0,6.64,NP,1611646154
Edd,13.9297,41.6925,83.59,30,72,5.14,ER,1611646165
Bulgan,48.8125,103.5347,1.65,81,85,8.99,MN,1611646176
Sakaiminato,35.55,133.2333,48.2,93,90,4.61,JP,1611645904
Labuan,5.2767,115.2417,86.0,70,20,8.05,MY,1611646198
Kangaba,11.9333,-8.4167,67.35,21,27,7.38,ML,1611646217
Tambura,5.6,27.4667,88.09,24,39,3.2,SS,1611646228
Kramat,-8.1311,113.4499,82.98,74,28,7.74,ID,1611646239
Valparaíso,-33.0393,-71.6273,59.0,94,90,2.3,CL,1611646250
Assiut,27.181,31.1837,44.6,87,0,11.5,EG,1611646261
Lukovetskiy,64.2956,41.9211,33.8,100,90,3.71,RU,1611646272
Ormara,25.2088,64.6357,70.12,26,0,7.38,PK,1611646283
Porto Velho,-8.7619,-63.9039,75.2,94,0,2.3,BR,1611646011
Havelock,34.8791,-76.9013,46.99,100,90,3.44,US,1611646306
